entity,year,total_pop,continent,kg_apple_prod_capita_year,phd_awards,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,fruit_consumed_kg_pc_year,gdp_capita_year,life_expectancy,deaths_neoplasms,daly,percent_prevalence_depressive_disorders
Afghanistan,2007,27100542,Asia,1.72,NA,45.84,178.16,288.81,1533.19,55.4576,1460.8257513794,59.375,14253.281223073707,74522.04569888029,4.12972758067
Afghanistan,2008,27722281,Asia,1.79,NA,47.2,180.64,267.48,1545.68,50.8544,1484.11446132539,59.93,14385.275410147662,71463.85366426603,4.12965570782
Afghanistan,2009,28394806,Asia,2.19,NA,46.72,184.44,276.48,1573.36,56.581,1758.90447663765,60.484,14458.35428630954,69850.85633247861,4.1299718921599995
Afghanistan,2011,30117411,Asia,1.93,NA,48.72,186.92,297.72,1573.64,71.76060000000001,1904.55992565594,61.553,14868.810348172474,65925.15714651182,4.1308621916099995
Afghanistan,2012,31161378,Asia,1.45,NA,49.04,186.6,300.33,1564.03,92.0914,2075.49161435331,62.054,15065.556659877584,64673.316267345894,4.13248478823
Afghanistan,2013,32269592,Asia,2.22,NA,48.88,184.12,301.68,1555.32,93.297,2116.46525771251,62.525,15426.545857169383,62943.339932485585,4.13466069347
Afghanistan,2014,33370804,Asia,NA,NA,NA,NA,NA,NA,91.8722,2102.38460375974,62.966,15712.350529233709,62991.42329800815,4.13352565882
Afghanistan,2015,34413603,Asia,NA,NA,NA,NA,NA,NA,104.0104,2068.26590413364,63.377,15902.337632607934,63274.70775839581,4.13541925043
Afghanistan,2016,35383028,Asia,NA,NA,NA,NA,NA,NA,84.96740000000001,2057.06797755329,63.763,16244.82901499455,62958.587086996355,4.13569434555
Afghanistan,1990,12412311,Asia,1.35,NA,67.8,197.08,435.6,1613.52,99.18800000000002,NA,50.331,10061.873743480066,104103.06930425552,4.07183117706
Afghanistan,1991,13299016,Asia,1.16,NA,64.96,173.68,370.08,1435.28,107.0518,NA,50.999,10171.33351148766,101240.7439882729,4.079530935399999
Afghanistan,1992,14485543,Asia,1.08,NA,59.76,159.12,342.99,1329.13,89.98160000000001,NA,51.641,10592.36758116952,90918.4703608358,4.08835824297
Afghanistan,1993,15816601,Asia,1,NA,58.44,168.88,297.72,1384.96,86.5566,NA,52.256,11126.644646057604,88234.35967522294,4.0961898971199995
